Start Ip,End Ip,Country Code,Country,Region,City
0,16777215,-,-,-,-
16777216,16777471,AU,AUSTRALIA,QUEENSLAND,SOUTH BRISBANE
16777472,16778239,CN,CHINA,FUJIAN,FUZHOU
16778240,16778495,AU,AUSTRALIA,VICTORIA,MELBOURNE
16778496,16778751,AU,AUSTRALIA,NEW SOUTH WALES,SYDNEY
16778752,16779263,AU,AUSTRALIA,-,-
16779264,16781311,CN,CHINA,GUANGDONG,GUANGZHOU
16781312,16785407,JP,JAPAN,TOKYO,TOKYO
16785408,16793599,CN,CHINA,GUANGDONG,GUANGZHOU
16793600,16798207,JP,JAPAN,HIROSHIMA,HIROSHIMA-SHI
16798208,16798463,JP,JAPAN,TOKYO,TOKYO
16798464,16805631,JP,JAPAN,HIROSHIMA,HIROSHIMA-SHI
16805632,16805887,JP,JAPAN,TOKYO,TOKYO
16805888,16809983,JP,JAPAN,HIROSHIMA,HIROSHIMA-SHI
16809984,16822527,TH,THAILAND,KRUNG THEP,BANGKOK
16822528,16822783,TH,THAILAND,PHANGNGA,KHURA BURI
16822784,16828159,TH,THAILAND,KRUNG THEP,BANGKOK
16828160,16828415,TH,THAILAND,NAKHON SI THAMMARAT,NAKHON SI THAMMARAT
16828416,16832767,TH,THAILAND,KRUNG THEP,BANGKOK
16832768,16833023,TH,THAILAND,SURAT THANI,KO SAMUI
16833024,16833279,TH,THAILAND,NAKHON SI THAMMARAT,NAKHON SI THAMMARAT
16833280,16833535,TH,THAILAND,SURAT THANI,KO SAMUI
16833536,16833791,TH,THAILAND,NAKHON SI THAMMARAT,NAKHON SI THAMMARAT
16833792,16834047,TH,THAILAND,KRUNG THEP,BANGKOK
16834048,16834303,TH,THAILAND,SURAT THANI,KO SAMUI
16834304,16835327,TH,THAILAND,KRUNG THEP,BANGKOK
16835328,16835583,TH,THAILAND,PHUKET,WICHIT
16835584,16835839,TH,THAILAND,KRUNG THEP,BANGKOK
16835840,16836095,TH,THAILAND,PHUKET,THALANG
16836096,16836863,TH,THAILAND,KRUNG THEP,BANGKOK
16836864,16837119,TH,THAILAND,PHUKET,BAN KO KAEO
16837120,16837375,TH,THAILAND,KRUNG THEP,BANGKOK
16837376,16837631,TH,THAILAND,PHUKET,MUEANG PHUKET
16837632,16841215,TH,THAILAND,KRUNG THEP,BANGKOK
16841216,16841471,TH,THAILAND,PHUKET,WICHIT
16841472,16842751,TH,THAILAND,KRUNG THEP,BANGKOK
16842752,16843007,CN,CHINA,FUJIAN,FUZHOU
16843008,16843263,AU,AUSTRALIA,QUEENSLAND,SOUTH BRISBANE
16843264,16844799,CN,CHINA,FUJIAN,FUZHOU
16844800,16859135,CN,CHINA,GUANGDONG,GUANGZHOU
16859136,16875519,JP,JAPAN,TOKYO,TOKYO
16875520,16876031,TH,THAILAND,KRUNG THEP,BANGKOK
16876032,16876287,TH,THAILAND,MUKDAHAN,KHAMCHA-I
16876288,16893951,TH,THAILAND,KRUNG THEP,BANGKOK
16893952,16894207,TH,THAILAND,KALASIN,RONG KHAM
