Start Ip,End Ip,Country Code,Country,Region,City
0,16777215,-,-,-,-,
16778752,16779263,AU,AUSTRALIA,-,-,
19675648,19675903,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19676160,19676671,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19679232,19679487,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19676928,19678463,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19672064,19672319,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19671040,19671551,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19673088,19673343,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19674112,19674879,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19673600,19673855,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19690496,19690751,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19682304,19682815,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19689728,19689983,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19683840,19684351,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19691776,19692543,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19680000,19680255,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19693056,19693567,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19681280,19682047,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19680768,19681023,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19662336,19662847,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19661824,19662079,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19664128,19664383,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19663360,19663615,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19688704,19689471,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19685888,19686399,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19684608,19684863,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19687680,19687935,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19686912,19687167,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19668992,19669247,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19668480,19668735,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19670272,19670527,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19669760,19670015,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19667968,19668223,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19665664,19666431,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19664640,19665151,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19667456,19667711,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
19666688,19666943,AU,AUSTRALIA,SOUTH AUSTRALIA,ADELAIDE,
18268160,18268671,IN,INDIA,UTTAR PRADESH,AGRA,
19282176,19282431,IN,INDIA,MAHARASHTRA,AHMADNAGAR,
18277632,18277887,IN,INDIA,GUJARAT,AHMEDABAD,
18321152,18321407,IN,INDIA,GUJARAT,AHMEDABAD,
19274496,19274751,IN,INDIA,MAHARASHTRA,AIROLI,
21972736,21972991,JP,JAPAN,HYOGO,AKASHI,
18993856,18993887,JP,JAPAN,AKITA,AKITA-SHI,
19323904,19324159,IN,INDIA,PUNJAB,AMRITSAR,
19275008,19275263,IN,INDIA,GUJARAT,ANAND,
18941440,18943231,JP,JAPAN,AOMORI,AOMORI-SHI,
18228736,18229247,IN,INDIA,MAHARASHTRA,AURANGABAD,
18251776,18252031,IN,INDIA,MAHARASHTRA,AURANGABAD,
17401088,17401215,MY,MALAYSIA,MELAKA,AYER KEROH,
19275264,19275519,IN,INDIA,MADHYA PRADESH,BAMNIA,
16836864,16837119,TH,THAILAND,PHUKET,BAN KO KAEO,
16959744,16959999,TH,THAILAND,KRUNG THEP,BANG RAK,
18338048,18338559,IN,INDIA,KARNATAKA,BANGALORE,
18333952,18334207,IN,INDIA,KARNATAKA,BANGALORE,
18335744,18335999,IN,INDIA,KARNATAKA,BANGALORE,
18344960,18345983,IN,INDIA,KARNATAKA,BANGALORE,
19304704,19304959,IN,INDIA,KARNATAKA,BANGALORE,
18343680,18343935,IN,INDIA,KARNATAKA,BANGALORE,
18339072,18339327,IN,INDIA,KARNATAKA,BANGALORE,
18340352,18341887,IN,INDIA,KARNATAKA,BANGALORE,
18234624,18234879,IN,INDIA,KARNATAKA,BANGALORE,
18236928,18237183,IN,INDIA,KARNATAKA,BANGALORE,
18237952,18238463,IN,INDIA,KARNATAKA,BANGALORE,
18222848,18223103,IN,INDIA,KARNATAKA,BANGALORE,
18221568,18222079,IN,INDIA,KARNATAKA,BANGALORE,
18231296,18231807,IN,INDIA,KARNATAKA,BANGALORE,
18248704,18248959,IN,INDIA,KARNATAKA,BANGALORE,
18267904,18268159,IN,INDIA,KARNATAKA,BANGALORE,
18269696,18269951,IN,INDIA,KARNATAKA,BANGALORE,
18265600,18265855,IN,INDIA,KARNATAKA,BANGALORE,
18270720,18271231,IN,INDIA,KARNATAKA,BANGALORE,
18271488,18271743,IN,INDIA,KARNATAKA,BANGALORE,
17103360,17104127,TH,THAILAND,KRUNG THEP,BANGKOK,
17099264,17103103,TH,THAILAND,KRUNG THEP,BANGKOK,
16809984,16822527,TH,THAILAND,KRUNG THEP,BANGKOK,
17104384,17104895,TH,THAILAND,KRUNG THEP,BANGKOK,
18088448,18153471,TH,THAILAND,KRUNG THEP,BANGKOK,
17465344,17498111,TH,THAILAND,KRUNG THEP,BANGKOK,
19791872,19922943,TH,THAILAND,KRUNG THEP,BANGKOK,
17076224,17081343,TH,THAILAND,KRUNG THEP,BANGKOK,
16836096,16836863,TH,THAILAND,KRUNG THEP,BANGKOK,
17072128,17075967,TH,THAILAND,KRUNG THEP,BANGKOK,
16905472,16908287,TH,THAILAND,KRUNG THEP,BANGKOK,
17081600,17085951,TH,THAILAND,KRUNG THEP,BANGKOK,
16828416,16832767,TH,THAILAND,KRUNG THEP,BANGKOK,
16837120,16837375,TH,THAILAND,KRUNG THEP,BANGKOK,
16960000,16964095,TH,THAILAND,KRUNG THEP,BANGKOK,
16834304,16835327,TH,THAILAND,KRUNG THEP,BANGKOK,
16952832,16959743,TH,THAILAND,KRUNG THEP,BANGKOK,
16964352,16973823,TH,THAILAND,KRUNG THEP,BANGKOK,
16835584,16835839,TH,THAILAND,KRUNG THEP,BANGKOK,
16833792,16834047,TH,THAILAND,KRUNG THEP,BANGKOK,
16941056,16952575,TH,THAILAND,KRUNG THEP,BANGKOK,
17090816,17099007,TH,THAILAND,KRUNG THEP,BANGKOK,
16894208,16894975,TH,THAILAND,KRUNG THEP,BANGKOK,
16837632,16841215,TH,THAILAND,KRUNG THEP,BANGKOK,
16841472,16842751,TH,THAILAND,KRUNG THEP,BANGKOK,
16822784,16828159,TH,THAILAND,KRUNG THEP,BANGKOK,
16876288,16893951,TH,THAILAND,KRUNG THEP,BANGKOK,
17086208,17090559,TH,THAILAND,KRUNG THEP,BANGKOK,
16895232,16905215,TH,THAILAND,KRUNG THEP,BANGKOK,
16875520,16876031,TH,THAILAND,KRUNG THEP,BANGKOK,
18350080,18874367,CN,CHINA,NEI MONGOL,BAOTOU,
19271680,19271935,IN,INDIA,RAJASTHAN,BARMER,
17382656,17382911,MY,MALAYSIA,SABAH,BEAUFORT,
17040384,17040639,CN,CHINA,BEIJING,BEIJING,
20120576,20121087,CN,CHINA,BEIJING,BEIJING,
20119808,20120063,CN,CHINA,BEIJING,BEIJING,
19743744,19791871,CN,CHINA,BEIJING,BEIJING,
16910336,16910591,CN,CHINA,BEIJING,BEIJING,
17301504,17367039,CN,CHINA,BEIJING,BEIJING,
17563648,17825791,CN,CHINA,BEIJING,BEIJING,
16909312,16909567,CN,CHINA,BEIJING,BEIJING,
16908800,16909055,CN,CHINA,BEIJING,BEIJING,
19726336,19743487,CN,CHINA,BEIJING,BEIJING,
18338560,18338815,IN,INDIA,KARNATAKA,BHATKAL,
18247680,18248191,IN,INDIA,MADHYA PRADESH,BHOPAL,
18262784,18263039,IN,INDIA,ORISSA,BHUBANESHWAR,
20346880,20347135,VN,VIET NAM,AN GIANG,BIEN HOA,
16964096,16964351,TH,THAILAND,MAHA SARAKHAM,BORABUE,
19337984,19338239,IN,INDIA,MAHARASHTRA,BORIVLI,
19696128,19696383,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19701760,19702015,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19699200,19699455,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19698688,19698943,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19712768,19713279,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19713536,19714047,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19715584,19716095,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19725824,19726335,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19724800,19725055,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19720960,19721215,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19724032,19724287,AU,AUSTRALIA,QUEENSLAND,BRISBANE,
19273216,19273471,IN,INDIA,HARYANA,CHANDIGARH,
20127744,20133887,CN,CHINA,JIANGSU,CHANGZHOU,
19299072,19299327,IN,INDIA,TAMIL NADU,CHENNAI,
19293952,19294207,IN,INDIA,TAMIL NADU,CHENNAI,
18269184,18269439,IN,INDIA,TAMIL NADU,CHENNAI,
18303488,18303999,IN,INDIA,TAMIL NADU,CHENNAI,
18302464,18302975,IN,INDIA,TAMIL NADU,CHENNAI,
18301184,18301695,IN,INDIA,TAMIL NADU,CHENNAI,
17170432,17301503,IN,INDIA,TAMIL NADU,CHENNAI,
18301696,18302207,IN,INDIA,TAMIL NADU,CHETPUT,
21016064,21016319,HK,HONG KONG,HONG KONG (SAR),CHEUNG CHAU,
18951936,18952703,JP,JAPAN,CHIBA,CHIBA-SHI,
18956288,18959359,JP,JAPAN,CHIBA,CHIBA-SHI,
20148224,20150271,CN,CHINA,ANHUI,CHUZHOU,
18283008,18283519,IN,INDIA,KERALA,COCHIN,
18225152,18225663,IN,INDIA,TAMIL NADU,COIMBATORE,
18273792,18274047,IN,INDIA,TAMIL NADU,COIMBATORE,
18254080,18254335,IN,INDIA,TAMIL NADU,COIMBATORE,
Start Ip,End Ip,Country Code,Country,Region,City,
20360448,20360703,VN,VIET NAM,LAM DONG,DA LAT,
19273984,19274495,IN,INDIA,MADHYA PRADESH,DABRA,
19210752,19211007,PH,PHILIPPINES,DAVAO CITY,DAVAO,
18274304,18274559,IN,INDIA,DELHI,DELHI,
18273280,18273791,IN,INDIA,DELHI,DELHI,
18281984,18282495,IN,INDIA,DELHI,DELHI,
18281472,18281727,IN,INDIA,DELHI,DELHI,
18263552,18264063,IN,INDIA,DELHI,DELHI,
18261504,18261759,IN,INDIA,DELHI,DELHI,
18259456,18259711,IN,INDIA,DELHI,DELHI,
18252032,18252287,IN,INDIA,DELHI,DELHI,
18234368,18234623,IN,INDIA,DELHI,DELHI,
18262016,18262271,IN,INDIA,DELHI,DELHI,
18234880,18235135,IN,INDIA,DELHI,DELHI,
18310656,18310911,IN,INDIA,DELHI,DELHI,
18309888,18310399,IN,INDIA,DELHI,DELHI,
18227200,18228223,IN,INDIA,DELHI,DELHI,
18312448,18312703,IN,INDIA,DELHI,DELHI,
18225920,18226175,IN,INDIA,DELHI,DELHI,
18343936,18344703,IN,INDIA,DELHI,DELHI,
18342144,18342911,IN,INDIA,DELHI,DELHI,
18343424,18343679,IN,INDIA,DELHI,DELHI,
18325504,18325759,IN,INDIA,DELHI,DELHI,
18309376,18309631,IN,INDIA,DELHI,DELHI,
20162816,20168703,CN,CHINA,SICHUAN,DEZHOU,
20162560,20162815,CN,CHINA,SHANDONG,DEZHOU,
17103104,17103359,TH,THAILAND,NONG KHAI,FAO RAI,
17104128,17104383,TH,THAILAND,NONG KHAI,FAO RAI,
19272960,19273215,IN,INDIA,HARYANA,FATEHABAD,
19167744,19167999,HK,HONG KONG,HONG KONG (SAR),FO TAN,
21496832,21497087,JP,JAPAN,TOKYO,FUCHU,
18993888,18993919,JP,JAPAN,FUKUSHIMA,FUKUSHIMA-SHI,
17434624,17435135,CN,CHINA,FUJIAN,FUZHOU,
16908288,16908799,CN,CHINA,FUJIAN,FUZHOU,
16777472,16778239,CN,CHINA,FUJIAN,FUZHOU,
16909568,16910335,CN,CHINA,FUJIAN,FUZHOU,
17435392,17436671,CN,CHINA,FUJIAN,FUZHOU,
16843264,16844799,CN,CHINA,FUJIAN,FUZHOU,
17039616,17040383,CN,CHINA,FUJIAN,FUZHOU,
16842752,16843007,CN,CHINA,FUJIAN,FUZHOU,
17040640,17041407,CN,CHINA,FUJIAN,FUZHOU,
17411328,17411583,MY,MALAYSIA,PULAU PINANG,GEORGE TOWN,
18222080,18222335,IN,INDIA,UTTAR PRADESH,GHAZIABAD,
18290176,18292735,IN,INDIA,UTTAR PRADESH,GHAZIABAD,
18994112,18994143,JP,JAPAN,GIFU,GIFU-SHI,
16973824,17039359,CN,CHINA,GUANGDONG,GUANGZHOU,
16910592,16941055,CN,CHINA,GUANGDONG,GUANGZHOU,
16779264,16781311,CN,CHINA,GUANGDONG,GUANGZHOU,
16785408,16793599,CN,CHINA,GUANGDONG,GUANGZHOU,
16844800,16859135,CN,CHINA,GUANGDONG,GUANGZHOU,
17041408,17072127,CN,CHINA,GUANGDONG,GUANGZHOU,
17432576,17434623,CN,CHINA,GUANGDONG,GUANGZHOU,
17436672,17465343,CN,CHINA,GUANGDONG,GUANGZHOU,
19922944,20054015,CN,CHINA,GUIZHOU,GUIYANG,
18252544,18252799,IN,INDIA,ANDHRA PRADESH,GUNTUR,
19332864,19333119,IN,INDIA,ANDHRA PRADESH,GUNTUR,
18310400,18310655,IN,INDIA,HARYANA,GURGAON,
18311424,18311679,IN,INDIA,HARYANA,GURGAON,
18312704,18313215,IN,INDIA,HARYANA,GURGAON,
18311936,18312447,IN,INDIA,HARYANA,GURGAON,
18262272,18262527,IN,INDIA,HARYANA,GURGAON,
18264320,18264575,IN,INDIA,HARYANA,GURGAON,
18258944,18259199,IN,INDIA,HARYANA,GURGAON,
18252288,18252543,IN,INDIA,HARYANA,GURGAON,
18309632,18309887,IN,INDIA,HARYANA,GURGAON,
18309120,18309375,IN,INDIA,HARYANA,GURGAON,
20411904,20412159,VN,VIET NAM,HA NOI,HA DONG,
20412928,20413183,VN,VIET NAM,HA NOI,HA DONG,
20277504,20277759,VN,VIET NAM,HA NOI,HA DONG,
20435712,20435967,VN,VIET NAM,HA NOI,HA DONG,
20402176,20402431,VN,VIET NAM,HA NOI,HA DONG,
20405760,20406015,VN,VIET NAM,HA NOI,HA DONG,
20437504,20437759,VN,VIET NAM,HA NOI,HA DONG,
20438528,20438783,VN,VIET NAM,HA NOI,HA DONG,
20438016,20438271,VN,VIET NAM,HA NOI,HA DONG,
20404992,20405247,VN,VIET NAM,HA NOI,HA DONG,
20272384,20272639,VN,VIET NAM,DAK LAK,HA NOI,
20438272,20438527,VN,VIET NAM,DAK LAK,HA NOI,
20261376,20262143,VN,VIET NAM,DAK LAK,HA NOI,
20262400,20262655,VN,VIET NAM,DAK LAK,HA NOI,
20438784,20447231,VN,VIET NAM,DAK LAK,HA NOI,
20278016,20278783,VN,VIET NAM,DAK LAK,HA NOI,
20279040,20279295,VN,VIET NAM,DAK LAK,HA NOI,
20276480,20276991,VN,VIET NAM,DAK LAK,HA NOI,
20273152,20273919,VN,VIET NAM,DAK LAK,HA NOI,
20412160,20412927,VN,VIET NAM,DAK LAK,HA NOI,
20275200,20275455,VN,VIET NAM,DAK LAK,HA NOI,
20195072,20195327,VN,VIET NAM,DAK LAK,HA NOI,
20200960,20201215,VN,VIET NAM,DAK LAK,HA NOI,
20208896,20209151,VN,VIET NAM,DAK LAK,HA NOI,
20193792,20194047,VN,VIET NAM,DAK LAK,HA NOI,
20435968,20437503,VN,VIET NAM,DAK LAK,HA NOI,
20413184,20435711,VN,VIET NAM,DAK LAK,HA NOI,
20191232,20191487,VN,VIET NAM,DAK LAK,HA NOI,
20250880,20251135,VN,VIET NAM,DAK LAK,HA NOI,
20258816,20259071,VN,VIET NAM,DAK LAK,HA NOI,
20260096,20260607,VN,VIET NAM,DAK LAK,HA NOI,
20437760,20438015,VN,VIET NAM,DAK LAK,HA NOI,
20258048,20258303,VN,VIET NAM,DAK LAK,HA NOI,
20253952,20254207,VN,VIET NAM,DAK LAK,HA NOI,
20254464,20254975,VN,VIET NAM,DAK LAK,HA NOI,
20255488,20255999,VN,VIET NAM,DAK LAK,HA NOI,
20280064,20283135,VN,VIET NAM,DAK LAK,HA NOI,
20350976,20351743,VN,VIET NAM,DAK LAK,HA NOI,
20350208,20350719,VN,VIET NAM,DAK LAK,HA NOI,
20347136,20347647,VN,VIET NAM,DAK LAK,HA NOI,
20352000,20352255,VN,VIET NAM,DAK LAK,HA NOI,
20360704,20361215,VN,VIET NAM,DAK LAK,HA NOI,
20358144,20360447,VN,VIET NAM,DAK LAK,HA NOI,
20352512,20357375,VN,VIET NAM,DAK LAK,HA NOI,
20337920,20338175,VN,VIET NAM,DAK LAK,HA NOI,
20336384,20336639,VN,VIET NAM,DAK LAK,HA NOI,
20334848,20335103,VN,VIET NAM,DAK LAK,HA NOI,
20339712,20341247,VN,VIET NAM,DAK LAK,HA NOI,
20406016,20406527,VN,VIET NAM,DAK LAK,HA NOI,
20344832,20346879,VN,VIET NAM,DAK LAK,HA NOI,
20341504,20343039,VN,VIET NAM,DAK LAK,HA NOI,
20379392,20387327,VN,VIET NAM,DAK LAK,HA NOI,
20378880,20379135,VN,VIET NAM,DAK LAK,HA NOI,
20377088,20378623,VN,VIET NAM,DAK LAK,HA NOI,
20387584,20397311,VN,VIET NAM,DAK LAK,HA NOI,
20402944,20404991,VN,VIET NAM,DAK LAK,HA NOI,
20402432,20402687,VN,VIET NAM,DAK LAK,HA NOI,
20397568,20402175,VN,VIET NAM,DAK LAK,HA NOI,
20363264,20364287,VN,VIET NAM,DAK LAK,HA NOI,
20362496,20363007,VN,VIET NAM,DAK LAK,HA NOI,
20361472,20361983,VN,VIET NAM,DAK LAK,HA NOI,
20367104,20368895,VN,VIET NAM,DAK LAK,HA NOI,
20375296,20376063,VN,VIET NAM,DAK LAK,HA NOI,
